Cluster,FID,Lat,Long,DAYNO.,RAINFALL,YEAR
41,24.0,29.75,79.5,183.5,2.7131147540983607,2016.0
42,17.0,29.5,80.25,183.5,4.5109289617486334,2016.0
43,70.0,30.75,79.5,183.5,3.5,2016.0
44,61.0,30.5,80.0,183.5,4.344262295081967,2016.0
45,46.0,30.25,79.5,183.5,4.229508196721311,2016.0
46,15.0,29.5,79.75,183.5,2.5765027322404372,2016.0
47,78.0,31.0,79.25,183.5,4.2349726775956285,2016.0
48,49.0,30.25,80.25,183.5,5.2349726775956285,2016.0
49,31.0,30.0,78.5,183.5,2.4754098360655736,2016.0
50,14.0,29.5,79.5,183.5,2.9754098360655736,2016.0
51,75.0,31.0,78.5,183.5,3.3169398907103824,2016.0
52,73.0,31.0,78.0,183.5,2.3961748633879782,2016.0
53,57.0,30.5,79.0,183.5,6.005464480874317,2016.0
54,76.0,31.0,78.75,183.5,3.800546448087432,2016.0
55,26.0,29.75,80.0,183.5,4.3743169398907105,2016.0
56,3.0,29.0,79.75,183.5,3.9043715846994536,2016.0
57,79.0,31.0,79.5,183.5,3.8852459016393444,2016.0
58,68.0,30.75,79.0,183.5,4.85792349726776,2016.0
59,10.0,29.25,80.25,183.5,3.448087431693989,2016.0
60,47.0,30.25,79.75,183.5,4.316939890710382,2016.0
61,2.0,29.0,79.5,183.5,5.1256830601092895,2016.0
62,21.0,29.75,78.75,183.5,2.390710382513661,2016.0
63,38.0,30.0,80.25,183.5,5.871584699453552,2016.0
64,33.0,30.0,79.0,183.5,3.2759562841530054,2016.0
65,18.0,29.75,78.0,183.5,2.9043715846994536,2016.0
66,11.0,29.5,78.75,183.5,1.6639344262295082,2016.0
67,23.0,29.75,79.25,183.5,2.622950819672131,2016.0
68,4.0,29.0,80.0,183.5,3.9644808743169397,2016.0
69,41.0,30.25,78.25,183.5,4.215846994535519,2016.0
70,66.0,30.75,78.5,183.5,2.7950819672131146,2016.0
71,6.0,29.25,79.25,183.5,7.360655737704918,2016.0
72,40.0,30.25,78.0,183.5,3.8224043715846996,2016.0
73,20.0,29.75,78.5,183.5,2.658469945355191,2016.0
74,56.0,30.5,78.75,183.5,5.543715846994536,2016.0
75,22.0,29.75,79.0,183.5,2.890710382513661,2016.0
76,81.0,31.25,78.25,183.5,1.6721311475409837,2016.0
77,63.0,30.75,77.75,183.5,2.5355191256830603,2016.0
78,36.0,30.0,79.75,183.5,4.8224043715847,2016.0
79,65.0,30.75,78.25,183.5,4.426229508196721,2016.0
0,38.0,30.0,80.25,183.0,7.019178082191781,2017.0
1,44.0,30.25,79.0,183.0,4.336986301369863,2017.0
2,40.0,30.25,78.0,183.0,5.465753424657534,2017.0
3,8.0,29.25,79.75,183.0,2.6465753424657534,2017.0
4,66.0,30.75,78.5,183.0,3.095890410958904,2017.0
5,61.0,30.5,80.0,183.0,5.695890410958904,2017.0
6,78.0,31.0,79.25,183.0,4.619178082191781,2017.0
7,11.0,29.5,78.75,183.0,2.5945205479452054,2017.0
8,51.5,30.25,80.875,183.0,7.027397260273973,2017.0
9,46.0,30.25,79.5,183.0,4.331506849315068,2017.0
10,23.0,29.75,79.25,183.0,2.893150684931507,2017.0
11,1.0,29.0,79.25,183.0,4.101369863013699,2017.0
12,19.0,29.75,78.25,183.0,2.6,2017.0
13,63.5,30.75,77.875,183.0,3.456164383561644,2017.0
14,9.0,29.25,80.0,183.0,2.6931506849315068,2017.0
15,49.5,30.375,78.75,183.0,4.506849315068493,2017.0
16,37.0,30.0,80.0,183.0,6.728767123287671,2017.0
17,74.0,31.0,78.25,183.0,3.6410958904109587,2017.0
18,0.0,28.75,80.0,183.0,5.032876712328767,2017.0
19,71.0,30.75,79.75,183.0,4.353424657534247,2017.0
20,59.0,30.5,79.5,183.0,3.484931506849315,2017.0
21,28.0,30.0,77.75,183.0,3.0273972602739727,2017.0
22,50.0,30.25,80.5,183.0,6.761643835616439,2017.0
23,15.0,29.5,79.75,183.0,2.767123287671233,2017.0
24,69.0,30.75,79.25,183.0,4.298630136986302,2017.0
25,77.0,31.0,79.0,183.0,4.583561643835616,2017.0
26,54.0,30.5,78.25,183.0,3.4904109589041097,2017.0
27,31.0,30.0,78.5,183.0,2.808219178082192,2017.0
28,5.0,29.25,79.0,183.0,2.4493150684931506,2017.0
29,17.0,29.5,80.25,183.0,4.676712328767123,2017.0
30,75.0,31.0,78.5,183.0,3.6136986301369864,2017.0
31,3.0,29.0,79.75,183.0,4.241095890410959,2017.0
32,22.0,29.75,79.0,183.0,3.4986301369863013,2017.0
